round,layer,baseline_reset_slots,targeted_slots,random_slots,targeted_clients,baseline_random_overlap_slots,replaced_reset_slots,cold_start_count,stale_history_count,no_target_slots_count,no_valid_history_count,targeted_count,before_start_round_count,non_target_layer_count
148,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
148,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
148,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
148,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
148,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
148,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
148,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
148,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
148,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
149,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
149,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
149,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
149,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
149,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
149,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
149,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
149,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
149,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
149,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
149,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
149,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
150,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
150,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
150,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
150,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
150,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
150,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
150,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
150,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
150,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
150,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
150,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
150,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
151,features.10,20,0,20,0,0,0,0,4,6,0,0,0,0
151,features.14,40,6,34,6,1,5,0,4,0,0,6,0,0
151,features.17,40,6,34,6,0,6,0,4,0,0,6,0,0
151,features.20,40,6,34,6,0,6,0,4,0,0,6,0,0
151,features.24,80,12,68,6,0,12,0,4,0,0,6,0,0
151,features.27,80,12,68,6,0,12,0,4,0,0,6,0,0
151,features.3,10,0,10,0,0,0,0,4,6,0,0,0,0
151,features.30,80,12,68,6,0,12,0,4,0,0,6,0,0
151,features.34,80,12,68,6,0,12,0,4,0,0,6,0,0
151,features.37,80,12,68,6,0,12,0,4,0,0,6,0,0
151,features.40,80,12,68,6,0,12,0,4,0,0,6,0,0
151,features.7,20,0,20,0,0,0,0,4,6,0,0,0,0
152,features.10,20,0,20,0,0,0,0,3,7,0,0,0,0
152,features.14,40,7,33,7,0,7,0,3,0,0,7,0,0
152,features.17,40,7,33,7,1,6,0,3,0,0,7,0,0
152,features.20,40,7,33,7,0,7,0,3,0,0,7,0,0
152,features.24,80,14,66,7,0,14,0,3,0,0,7,0,0
152,features.27,80,14,66,7,2,12,0,3,0,0,7,0,0
152,features.3,10,0,10,0,0,0,0,3,7,0,0,0,0
152,features.30,80,14,66,7,0,14,0,3,0,0,7,0,0
152,features.34,80,14,66,7,0,14,0,3,0,0,7,0,0
152,features.37,80,14,66,7,0,14,0,3,0,0,7,0,0
152,features.40,80,14,66,7,0,14,0,3,0,0,7,0,0
152,features.7,20,0,20,0,0,0,0,3,7,0,0,0,0
153,features.10,20,0,20,0,0,0,0,3,7,0,0,0,0
153,features.14,40,7,33,7,1,6,0,3,0,0,7,0,0
153,features.17,40,7,33,7,0,7,0,3,0,0,7,0,0
153,features.20,40,7,33,7,0,7,0,3,0,0,7,0,0
153,features.24,80,14,66,7,0,14,0,3,0,0,7,0,0
153,features.27,80,14,66,7,0,14,0,3,0,0,7,0,0
153,features.3,10,0,10,0,0,0,0,3,7,0,0,0,0
153,features.30,80,14,66,7,1,13,0,3,0,0,7,0,0
153,features.34,80,14,66,7,1,13,0,3,0,0,7,0,0
153,features.37,80,14,66,7,1,13,0,3,0,0,7,0,0
153,features.40,80,14,66,7,0,14,0,3,0,0,7,0,0
153,features.7,20,0,20,0,0,0,0,3,7,0,0,0,0
154,features.10,20,0,20,0,0,0,0,2,8,0,0,0,0
154,features.14,40,8,32,8,0,8,0,2,0,0,8,0,0
154,features.17,40,8,32,8,0,8,0,2,0,0,8,0,0
154,features.20,40,8,32,8,0,8,0,2,0,0,8,0,0
154,features.24,80,16,64,8,0,16,0,2,0,0,8,0,0
154,features.27,80,16,64,8,0,16,0,2,0,0,8,0,0
154,features.3,10,0,10,0,0,0,0,2,8,0,0,0,0
154,features.30,80,16,64,8,2,14,0,2,0,0,8,0,0
154,features.34,80,16,64,8,0,16,0,2,0,0,8,0,0
154,features.37,80,16,64,8,0,16,0,2,0,0,8,0,0
154,features.40,80,16,64,8,0,16,0,2,0,0,8,0,0
154,features.7,20,0,20,0,0,0,0,2,8,0,0,0,0
155,features.10,20,0,20,0,0,0,0,2,8,0,0,0,0
155,features.14,40,8,32,8,0,8,0,2,0,0,8,0,0
155,features.17,40,8,32,8,0,8,0,2,0,0,8,0,0
155,features.20,40,8,32,8,0,8,0,2,0,0,8,0,0
155,features.24,80,16,64,8,0,16,0,2,0,0,8,0,0
155,features.27,80,16,64,8,0,16,0,2,0,0,8,0,0
155,features.30,80,16,64,8,0,16,0,2,0,0,8,0,0
155,features.34,80,16,64,8,0,16,0,2,0,0,8,0,0
155,features.37,80,16,64,8,0,16,0,2,0,0,8,0,0
155,features.40,80,16,64,8,1,15,0,2,0,0,8,0,0
155,features.7,20,0,20,0,0,0,0,2,8,0,0,0,0
156,features.10,20,0,20,0,0,0,0,2,8,0,0,0,0
156,features.14,40,8,32,8,0,8,0,2,0,0,8,0,0
156,features.17,40,8,32,8,0,8,0,2,0,0,8,0,0
156,features.20,40,8,32,8,0,8,0,2,0,0,8,0,0
156,features.24,80,16,64,8,0,16,0,2,0,0,8,0,0
156,features.27,80,16,64,8,0,16,0,2,0,0,8,0,0
156,features.30,80,16,64,8,0,16,0,2,0,0,8,0,0
156,features.34,80,16,64,8,0,16,0,2,0,0,8,0,0
