round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
44,65.04000091552734,1.036290760231018,"[76, 67, 81, 35, 44, 49, 32, 99, 69, 51]","[[99, 76], [44, 32]]",10.57990960002644
45,56.880001068115234,1.3161689359664916,"[42, 4, 95, 71, 84, 22, 61, 5, 10, 28]","[[95, 5], [42, 95]]",9.941510799981188
46,66.87999725341797,0.9959267372131347,"[61, 52, 80, 26, 37, 44, 85, 1, 99, 55]","[[80, 61], [99, 61]]",11.758210800006054
47,63.02000045776367,1.0917034862518311,"[23, 10, 75, 28, 19, 22, 43, 13, 98, 85]","[[23, 22], [28, 85]]",11.307869500014931
48,63.189998626708984,1.11086556930542,"[18, 1, 96, 63, 59, 71, 88, 39, 97, 68]","[[71, 96], [68, 59]]",9.986875300004613
49,62.68000030517578,1.10939604511261,"[44, 11, 93, 47, 54, 9, 81, 94, 45, 65]","[[45, 65], [65, 44]]",13.19160489999922
50,63.0099983215332,1.0910943069458008,"[48, 43, 51, 76, 99, 39, 38, 73, 89, 80]","[[51, 76], [89, 76]]",9.572355100011919
51,60.20000076293945,1.1435008674621583,"[34, 16, 99, 17, 62, 58, 96, 29, 90, 30]","[[34, 90], [17, 34]]",11.699509600002784
52,64.29000091552734,1.0542263078689575,"[8, 59, 78, 95, 25, 35, 99, 86, 54, 64]","[[59, 8], [99, 78]]",9.860481299983803
53,59.650001525878906,1.1662830322265625,"[87, 42, 55, 74, 37, 10, 26, 23, 57, 62]","[[62, 57], [74, 57]]",11.349910199991427
54,51.130001068115234,1.4606856689453125,"[84, 2, 76, 48, 68, 40, 92, 8, 42, 46]","[[84, 92], [48, 76]]",9.509361399977934
55,67.79000091552734,0.9449885524749756,"[91, 70, 16, 58, 10, 35, 31, 86, 62, 54]","[[62, 58], [31, 86]]",11.17653659998905
56,66.66999816894531,1.0062938425064087,"[32, 41, 20, 75, 69, 62, 74, 38, 80, 58]","[[20, 41], [41, 74]]",11.8111655000248
57,62.599998474121094,1.1474414026260376,"[89, 0, 84, 16, 97, 67, 41, 38, 59, 60]","[[97, 89], [16, 38]]",10.198924500029534
58,52.59000015258789,1.496378854560852,"[59, 21, 34, 35, 95, 41, 9, 12, 47, 42]","[[41, 34], [59, 41]]",9.792012499994598
59,62.90999984741211,1.163303980064392,"[88, 78, 75, 43, 57, 63, 34, 79, 17, 93]","[[34, 43], [17, 93]]",11.805040800012648
60,66.70999908447266,1.001432338619232,"[76, 35, 9, 75, 32, 97, 53, 72, 27, 91]","[[32, 75], [35, 27]]",9.135854699998163
61,67.83999633789062,0.9726240626335144,"[60, 14, 9, 43, 15, 68, 7, 44, 65, 89]","[[65, 68], [15, 7]]",13.845967100001872
62,65.02999877929688,1.044056822013855,"[56, 67, 28, 93, 30, 71, 78, 48, 25, 19]","[[93, 30], [30, 67]]",11.313125099986792
63,64.5999984741211,1.0504536853790283,"[61, 18, 63, 89, 0, 99, 42, 76, 81, 9]","[[0, 9], [63, 89]]",11.076718700001948
