source_algorithm,seed,round,client_id,client_visit_index,participation_gap,task_id,task_seed,num_reset_kernels,local_update_norm,dispatch_minus_global_norm,input_change_norm,response_change_norm,secant_gain,response_change_ratio,h_norm,input_direction_cosine,response_direction_cosine,response_norm_ratio,response_prediction_nre,predicted_support,realized_support,support_sign_agreement
FedAvg,1,140,88,17,5,,,,1.1498095989227295,0.0,0.9591982364654541,1.6737490892410278,1.7449459617512169,0.6562203506276667,1.7456196546554565,-0.037806919268330165,-0.5560603072607826,1.8781617374579027,0.8918864407043707,0.01648819074034691,-0.06808445602655411,0
FedAvg,1,142,65,14,8,,,,1.2101716995239258,0.0,1.2288492918014526,1.51706862449646,1.2345440849554892,0.6593047096210305,1.2360014915466309,-0.06630815641525066,-0.4852966770764885,0.7533050673759734,0.8635507007441557,-0.013148301281034946,-0.012780548073351383,1
FedAvg,1,142,98,13,11,,,,1.0025155544281006,0.0,1.3941702842712402,1.1462287902832031,0.8221583856820882,0.5916455117410128,0.8222596645355225,-0.03719985823764448,-0.48430034509186365,1.1811399511678138,0.8614532093180004,-0.0021052416414022446,-0.020527146756649017,1
FedAvg,1,143,42,14,8,,,,1.3555268049240112,0.0,1.2712458372116089,2.0539371967315674,1.6156884346108247,0.6447614758392148,1.6168417930603027,-0.02491436483149514,-0.6220378623806787,1.4248066254974852,0.902511732487046,-0.005782784428447485,-0.012087535113096237,1
FedAvg,1,144,80,17,26,,,,1.2071964740753174,0.0,2.1502676010131836,2.248654365539551,1.0457555908292357,0.6985413682640608,1.0452346801757812,-0.01757526447290625,-0.8288747624267561,0.5648217439320764,0.9585969406203158,-0.0328400544822216,-0.008881491608917713,1
FedAvg,1,145,62,14,20,,,,1.7037439346313477,0.0,1.8574109077453613,2.076826810836792,1.1181299744581843,0.6533842723721115,1.1185752153396606,-0.02483582866993059,-0.38305355568845895,0.8789837001921963,0.8322333644387515,-0.03799176588654518,-0.004414553288370371,1
FedAvg,1,145,65,15,3,,,,1.0021597146987915,0.0,0.8308899402618408,1.4669387340545654,1.7655030624038115,0.6630736808342516,1.7679637670516968,-0.058089419272950124,-0.5922291755706866,1.4304233335970913,0.8948084640232289,-0.01589355058968067,-0.012570389546453953,1
FedAvg,1,145,64,12,19,,,,1.0764167308807373,0.0,1.8099058866500854,1.406923770904541,0.7773463699307633,0.649254531885377,0.7756563425064087,-0.08602759103797848,-0.43597079865764216,0.2712118222378443,0.8988751091346632,0.07277847826480865,-0.02083107829093933,0
FedAvg,1,146,64,13,1,,,,1.2796947956085205,0.0,0.42742636799812317,1.4876399040222168,3.4804588939755554,0.6313962167309859,3.484898090362549,-0.06751022395444412,-0.41242143067625475,4.492807360260615,0.9084405178317554,0.0882517620921135,-0.3733234405517578,0
FedAvg,1,147,88,18,7,,,,0.7173767685890198,0.0,1.1923059225082397,1.274362564086914,1.0688218015431676,0.6825042139657826,1.0672767162322998,-0.06346069601444518,-0.5366975677990689,0.6113971471481299,0.882960381277863,-0.011438941583037376,-0.05148611590266228,1
FedAvg,1,147,98,14,5,,,,0.9608943462371826,0.0,0.9899402260780334,1.1160575151443481,1.1273988931279635,0.568428179345339,1.1275007724761963,-0.05933971321404993,-0.48020814281338947,1.3712090607833312,0.8625956749089974,-0.03943793848156929,-0.04750939458608627,1
FedAvg,1,149,62,15,4,,,,2.0070250034332275,0.0,0.7837557196617126,2.4915072917938232,3.1789334728760097,0.6714261473506477,3.176187515258789,-0.036265385422658426,-0.4891027393152219,2.8395544367080157,0.8964146521591053,0.007813210599124432,-0.08338873833417892,0
FedAvg,1,151,88,19,4,,,,0.9410182237625122,0.0,0.8400710821151733,1.103471279144287,1.3135451304484829,0.665385076675218,1.315424919128418,-0.07417295477335456,-0.32213179724332286,1.2325230357008043,0.8150766887138525,-0.021202389150857925,-0.013124795630574226,1
FedAvg,1,153,62,16,4,,,,1.6326313018798828,0.0,0.9279625415802002,2.469634771347046,2.661351790276918,0.6785351594163535,2.663022994995117,-0.06762134518196092,-0.6036230940317334,0.8384302840902357,0.8951997184325424,0.04862133413553238,-0.051489900797605515,0
