stage,scope,metric,count,mean,std,median,min,q05,q25,q75,q95,max,sem,ci95_low,ci95_high,negative_fraction,zero_fraction,positive_fraction
rounds_1_150,all,cos_q_a,750,-0.5460965525890038,0.1401594435305454,-0.5737369769631601,-0.866843346698597,-0.7315317222533592,-0.6484790655077419,-0.46101803750978326,-0.2771900728547902,0.005102418850100164,0.005117899257936749,-0.5561276351345599,-0.5360654700434477,0.9986666666666667,0.0,0.0013333333333333333
rounds_1_150,conv,response_change_ratio,750,1.507073449734625,0.7867268951163982,1.3771811850914157,0.21471098121040852,0.6744825652258021,1.0771694554659152,1.7575692177831983,2.4951949432378373,9.265633407814963,0.02872720447008348,1.4507681289732615,1.5633787704959885,0.0,0.0,1.0
rounds_1_150,conv,cancellation_coefficient,750,0.08650775205885727,0.049336780227911214,0.07773355470104397,0.0023833232656573955,0.02169309561268865,0.04808681384466726,0.11862505287084422,0.1776165786683584,0.2860252239703362,0.0018015244963667893,0.08297676404597837,0.09003874007173618,0.0,0.0,1.0
rounds_1_150,conv,survival_ratio,750,1.7963209358848014,0.7001811198941323,1.6589015455852545,1.0183118734711245,1.172020567835005,1.4274547768564816,1.966141103894103,2.629723707266433,9.30289425327201,0.0255669995803497,1.746209616707316,1.8464322550622867,0.0,0.0,1.0
rounds_1_150,conv,survival_cosine,750,0.5566376113597545,0.15540231245881717,0.55814299575904,0.09093293821884364,0.32100243360195013,0.44779749114351136,0.6577288101789851,0.8221491810652072,0.9775287503353474,0.005674490134810685,0.5455156106955256,0.5677596120239835,0.0,0.0,1.0
rounds_1_150,conv,response_cosine,750,-0.0578355723671916,0.024247076134054763,-0.05637139528833378,-0.1651246663994387,-0.09990139385891289,-0.0729666621725628,-0.0405947035874563,-0.02059037403352658,-0.001500086475534265,0.00088537803681113,-0.05957091331934141,-0.056100231415041786,1.0,0.0,0.0
rounds_1_150,conv,cos_q_a,750,-0.5748771512355083,0.14360765816776716,-0.600695241931411,-0.9037422643133906,-0.7656510263880412,-0.679525652883706,-0.49273252816430885,-0.29860891467613976,-0.00031158278484046386,0.005243810253931806,-0.5851550193332147,-0.5645992831378019,1.0,0.0,0.0
rounds_1_150,classifier,response_change_ratio,750,1.3756199416283683,0.6246213696080668,1.2995503615027413,0.27963840719580957,0.8085159287665562,1.0757906848516123,1.5530787291414914,2.0113383629198593,8.557178502294587,0.022807947602273997,1.3309163643279114,1.4203235189288252,0.0,0.0,1.0
rounds_1_150,classifier,cancellation_coefficient,750,0.6077024835328942,0.26720995696309774,0.5857024320024861,0.03350809510507195,0.2133024850064213,0.4102874434720639,0.7666365317581012,1.1146188806834325,1.638466320026554,0.00975712806791155,0.5885785125197877,0.6268264545460008,0.0,0.0,1.0
rounds_1_150,classifier,survival_ratio,750,1.3185295201229106,0.5731271936967134,1.2186018881239893,0.6838204980025983,0.97051268383609,1.1043534171912786,1.3969611122209749,1.7923926467433446,8.522263574032902,0.020927646153821505,1.2775113336614203,1.3595477065844008,0.0,0.0,1.0
rounds_1_150,classifier,survival_cosine,750,0.3288663995837536,0.2316436459253822,0.32630547513615216,-0.35848013145699326,-0.07985313858466522,0.18061276958621533,0.4887838644227469,0.6978332687976245,0.9611334106935234,0.0084584300117381,0.3122878767607469,0.3454449224067603,0.08933333333333333,0.0,0.9106666666666666
rounds_1_150,classifier,response_cosine,750,-0.44270172889380577,0.1336968116334033,-0.4535243017998514,-0.765103127979496,-0.6479574344890752,-0.5456913273219016,-0.3460795312531993,-0.2119555143481895,-0.03090638100100932,0.004881917306542273,-0.4522702868146286,-0.43313317097298293,1.0,0.0,0.0
