round,transplant_probe_0.2,transplant_probe_0.5,pure_fedavg
225,67.33999633789062,67.33999633789062,64.809998
226,67.52999877929688,67.52999877929688,66.860001
227,72.12000274658203,72.12000274658203,70.190002
228,67.61000061035156,67.61000061035156,59.630001
229,63.650001525878906,63.650001525878906,68.190002
230,72.2300033569336,72.2300033569336,72.970001
231,66.69999694824219,66.69999694824219,70.800003
232,70.56999969482422,70.56999969482422,72.980003
233,69.22000122070312,69.22000122070312,69.93
234,61.13999938964844,61.13999938964844,69.57
235,62.470001220703125,62.470001220703125,64.050003
236,73.83000183105469,73.83000183105469,73.910004
237,70.94999694824219,70.94999694824219,70.150002
238,70.16999816894531,70.16999816894531,69.839996
239,72.19000244140625,72.19000244140625,72.699997
240,65.91999816894531,65.91999816894531,64.489998
241,71.95999908447266,71.95999908447266,70.639999
242,74.18000030517578,74.18000030517578,73.169998
243,72.80000305175781,72.80000305175781,70.290001
244,73.01000213623047,73.01000213623047,70.120003
245,75.11000061035156,75.11000061035156,74.269997
246,74.37999725341797,74.37999725341797,73.68
247,55.810001373291016,55.810001373291016,48.860001
248,71.38999938964844,71.38999938964844,68.050003
249,65.80000305175781,65.80000305175781,67.550003
250,72.05000305175781,72.05000305175781,71.110001
251,73.62999725341797,73.62999725341797,72.309998
252,69.3499984741211,69.3499984741211,70.269997
253,67.6500015258789,67.6500015258789,66.580002
254,69.12000274658203,69.12000274658203,66.75
255,75.13999938964844,75.13999938964844,74.160004
256,55.81999969482422,55.81999969482422,69.050003
257,67.52999877929688,67.52999877929688,69.010002
258,68.16000366210938,68.16000366210938,69.629997
259,70.04000091552734,70.04000091552734,69.940002
260,73.08999633789062,73.08999633789062,73.269997
261,73.05999755859375,73.05999755859375,72.120003
262,73.4000015258789,73.4000015258789,74.389999
263,68.9800033569336,68.9800033569336,69.239998
264,72.23999786376953,72.23999786376953,71.5
265,72.11000061035156,72.11000061035156,71.110001
266,72.69999694824219,72.69999694824219,71.18
267,70.88999938964844,70.88999938964844,70.110001
268,55.56999969482422,55.56999969482422,61.16
269,68.61000061035156,68.61000061035156,69.43
270,66.94000244140625,66.94000244140625,63.970001
271,68.19000244140625,68.19000244140625,66.980003
272,69.97000122070312,69.97000122070312,65.879997
273,68.23999786376953,68.23999786376953,60.59
274,47.29999923706055,47.29999923706055,59.16
275,73.0,73.0,71.410004
276,70.27999877929688,70.27999877929688,65.139999
277,73.13999938964844,73.13999938964844,73.470001
278,71.61000061035156,71.61000061035156,70.239998
279,75.0999984741211,75.0999984741211,74.120003
280,73.33999633789062,73.33999633789062,72.529999
281,69.2300033569336,69.2300033569336,71.529999
282,68.70999908447266,68.70999908447266,68.629997
283,72.94999694824219,72.94999694824219,72.970001
284,72.0199966430664,72.0199966430664,72.989998
285,71.5,71.5,73.860001
286,63.2400016784668,63.2400016784668,69.019997
287,69.9800033569336,69.9800033569336,71.879997
288,72.30000305175781,72.30000305175781,72.82
289,70.7699966430664,70.7699966430664,70.57
290,73.9000015258789,73.9000015258789,74.629997
291,71.9800033569336,71.9800033569336,72.309998
292,69.33000183105469,69.33000183105469,71.830002
293,68.87000274658203,68.87000274658203,70.459999
294,69.9800033569336,69.9800033569336,68.940002
295,68.83000183105469,68.83000183105469,54.82
296,72.11000061035156,72.11000061035156,70.68
297,73.81999969482422,73.81999969482422,73.620003
298,63.13999938964844,63.13999938964844,67.860001
299,70.30999755859375,70.30999755859375,69.349998
300,73.2699966430664,73.2699966430664,73.120003
301,74.47000122070312,74.47000122070312,73.660004
