round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
450,76.05999755859375,1.0540360620498657,"[63, 60, 88, 55, 7, 49, 73, 18, 11, 3]","[[7, 3], [73, 55], [3, 60], [18, 73], [88, 49]]",15.685598199954256
451,68.4000015258789,1.367488222885132,"[46, 57, 61, 67, 52, 49, 17, 15, 58, 63]","[[49, 57], [58, 67], [63, 58], [15, 67], [67, 46]]",15.771582900022622
452,75.45999908447266,1.0363321321487426,"[96, 35, 60, 56, 85, 26, 52, 58, 81, 0]","[[60, 0], [85, 52], [35, 85], [58, 56], [81, 26]]",14.555769700033125
453,75.41000366210938,1.0577747159957887,"[12, 87, 25, 67, 50, 83, 22, 43, 88, 48]","[[48, 67], [88, 50], [43, 25], [67, 87], [50, 87]]",11.45927610003855
454,75.83999633789062,1.0000106594085694,"[20, 94, 6, 43, 53, 13, 28, 97, 61, 25]","[[6, 20], [61, 28], [53, 20], [25, 94], [43, 20]]",13.879233499988914
455,76.20999908447266,1.0281383863449096,"[64, 21, 54, 42, 31, 83, 91, 58, 8, 30]","[[91, 83], [42, 31], [21, 64], [8, 91], [30, 42]]",11.859468199952971
456,75.68000030517578,1.0412127172470094,"[21, 55, 76, 1, 80, 84, 16, 28, 86, 96]","[[96, 76], [86, 96], [76, 1], [21, 76], [80, 86]]",13.783301200019196
457,76.23999786376953,1.0419180240631103,"[27, 46, 72, 31, 53, 66, 14, 75, 77, 99]","[[46, 14], [77, 14], [31, 27], [66, 53], [72, 27]]",12.471610900014639
458,74.5199966430664,1.097893381690979,"[94, 60, 27, 1, 47, 24, 79, 33, 3, 10]","[[24, 3], [79, 24], [33, 94], [1, 47], [27, 79]]",14.048656500002835
459,75.80999755859375,1.0630771682739257,"[96, 93, 54, 84, 35, 20, 27, 47, 77, 59]","[[35, 20], [84, 93], [20, 47], [77, 27], [54, 35]]",12.262744900013786
460,69.13999938964844,1.3735054262161255,"[43, 77, 80, 81, 46, 17, 41, 62, 39, 35]","[[46, 39], [62, 39], [77, 81], [39, 62], [43, 17]]",12.371182099974249
461,74.08000183105469,1.1375181579589844,"[19, 97, 29, 20, 55, 7, 63, 81, 76, 38]","[[97, 20], [29, 76], [81, 38], [63, 19], [7, 38]]",15.108074699994177
