round,test_accuracy,round_train_seconds,selected_clients,global_state_sha256,round_shadow_event_count,observer_history_bytes,max_alignment_identity_abs_error,max_response_identity_abs_error,max_epsilon_geometry_abs_error
105,70.26000213623047,14.170371300016996,"[17, 69, 35, 86, 83, 84, 23, 56, 89, 60]",e2c6830ad2a95e8bdf1547422a3098e76819144526bf963070caf907f6691385,5,4441359912,1.3982287967208296e-08,5.1393296729429494e-08,0.0017746925354004128
106,67.56999969482422,21.77121629996691,"[94, 79, 36, 8, 19, 16, 13, 30, 25, 3]",decc2323cd02c2f8c165c431537e5e7eac9636b34eba0c0026e7f589c60465db,10,4441359912,3.6596065422847546e-08,2.4459223979533817e-08,0.001695501804351851
107,58.630001068115234,10.620830699976068,"[45, 82, 32, 52, 17, 96, 6, 57, 67, 74]",955cec90e3ef6d86e38b8bbf52e8b2eb84c3ee5b793a7043c1407015b9d64ba5,5,4441359912,1.6967906643622485e-08,1.4350732158163737e-08,0.0006244122982025369
108,69.4000015258789,12.591291000018828,"[61, 20, 59, 99, 39, 42, 73, 53, 45, 8]",6b8410dcffb8659aa91f55e12adf60af1ae0a08b2e89734daecf72e94a056fad,10,4441359912,2.5134563940570898e-08,4.236390438450144e-08,0.00027154088020325817
109,70.87000274658203,9.205057699989993,"[60, 38, 5, 54, 66, 33, 80, 83, 9, 4]",001a3ede256a8521d713fafa260630974c367f1d4463625e3735135f3bac5762,5,4441359912,1.0467313238393672e-08,3.2325584431447396e-09,0.00010561943054199219
110,71.01000213623047,16.964800800022203,"[39, 44, 62, 4, 42, 25, 0, 45, 29, 93]",75f0b4b1b5423297c69af82861189c69e2ea900b3e68d94512fb13a677d1f2d7,15,4441359912,4.332920369165007e-08,2.9123077283088605e-08,0.00037927627563483224
111,71.20999908447266,11.100261299987324,"[96, 54, 19, 97, 92, 31, 81, 2, 24, 9]",d5d5c73c5afd2afad6ba2d84ad75f77e5ae312e002e675a522e4c0eb7d8a5d97,5,4441359912,1.8693996128860135e-08,2.5108857215627722e-08,0.0002389848232269287
112,70.58999633789062,16.522226999979466,"[9, 19, 7, 49, 45, 35, 80, 85, 40, 89]",240e291f33b0718701d31aa219cf6f59971cbc47e13fcccb4f7c32a5019423c1,10,4441359912,1.3350893945940356e-08,3.160766226528722e-08,0.00041984915733339623
113,69.95999908447266,10.29084299999522,"[73, 66, 18, 74, 33, 2, 87, 29, 98, 91]",f53ab114de326ea8ed9727b230b051bef19edb3830f19325153ae24bcfca50bc,5,4441359912,5.045232433220637e-09,6.452443024329568e-09,0.0002855062484741211
114,67.61000061035156,13.672535800025798,"[40, 31, 27, 50, 71, 81, 99, 97, 73, 49]",189f904b846ad6dab450b070e3209567adc416fb6be50484d0b846d30794583b,5,4441359912,3.0137773165961335e-08,2.6153072596457605e-08,0.0010556578636169434
115,64.61000061035156,13.268154399993364,"[61, 64, 42, 88, 27, 95, 92, 50, 45, 85]",842ee6ae6697e6dbad3ed80dfdc0a8e2c550ea13a11e1feaeded70a7647058dc,10,4441359912,5.4888029499093605e-08,3.8807076663260887e-08,0.00041984915733339623
116,70.70999908447266,11.803848500014283,"[27, 8, 49, 32, 15, 35, 70, 59, 31, 30]",60ab9972a524f17730c4f4426455fd76dd6e07999c99eb0679bdfc4f4b56236a,5,4441359912,1.2584630866259786e-08,1.262166637872042e-08,0.0007493913173675648
117,64.19999694824219,6.911575399979483,"[69, 35, 52, 51, 26, 15, 76, 48, 98, 12]",bfb8baa916ebd653abaf89baccf391ea3591aae3dee21711e8c8d47f8971009f,0,4441359912,nan,nan,nan
